company,location,tag,gender,yoe_total,tc,base,country,state
Amazon,"Seattle, WA",ML / AI,Female,5.0,260000.0,145000.0,United States,Washington
Amazon,"Austin, TX",API Development (Back-End),Male,14.0,240000.0,160000.0,United States,Texas
IBM,"Austin, TX",DevOps,Female,0.0,88000.0,88000.0,United States,Texas
Google,"Mountain View, CA",Distributed Systems (Back-End),Male,2.0,234000.0,153000.0,United States,California
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,1.0,170000.0,125000.0,United States,Washington
Microsoft,"Seattle, WA",3D,Male,1.0,150000.0,117000.0,United States,Washington
Salesforce,"Burlington, MA",Full Stack,Male,2.0,161000.0,135000.0,United States,Vermont
Microsoft,"Redmond, WA",Full Stack,Male,10.0,243000.0,170000.0,United States,Washington
Amazon,"Seattle, WA",Full Stack,Male,7.0,180000.0,100000.0,United States,Washington
Microsoft,"Redmond, WA",Distributed Systems (Back-End),Male,4.0,134000.0,118000.0,United States,Washington
Oracle,"Seattle, WA",Cloud,Female,0.0,160000.0,120000.0,United States,Washington
Google,"Mountain View, CA",ML / AI,Female,0.0,233000.0,131000.0,United States,California
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,10.0,211000.0,157000.0,United States,Washington
Salesforce,"Los Angeles, CA",Performance,Male,10.0,225000.0,167000.0,United States,California
Lyft,"San Francisco, CA",Distributed Systems (Back-End),Male,13.0,300000.0,200000.0,United States,California
Google,"Sunnyvale, CA",ML / AI,Male,3.0,290000.0,151000.0,United States,California
Amazon,"Seattle, WA",ML / AI,Male,3.0,295000.0,195000.0,United States,Washington
Oracle,"Broomfield, CO",Full Stack,Male,3.0,130000.0,115000.0,United States,Colorado
Microsoft,"Redmond, WA",Security,Male,1.0,155000.0,110000.0,United States,Washington
Microsoft,"Redmond, WA",Full Stack,Male,10.0,160000.0,134000.0,United States,Washington
Amazon,"Seattle, WA",Security,Male,0.0,182000.0,111000.0,United States,Washington
Google,"Mountain View, CA",Full Stack,Male,2.0,192000.0,130000.0,United States,California
Capital One,"Washington, DC",iOS,Female,2.0,125000.0,119000.0,United States,District of Columbia
Microsoft,"Redmond, WA",Full Stack,Male,33.0,300000.0,199000.0,United States,Washington
Salesforce,"Bellevue, WA",Full Stack,Male,10.0,219000.0,180000.0,United States,Washington
Google,"New York, NY",Full Stack,Male,0.0,133000.0,118000.0,United States,New York
Apple,"Cupertino, CA",Embedded systems,Male,1.0,147000.0,124000.0,United States,California
IBM,"Campinas, SP, Brazil",API Development (Back-End),Male,8.0,14000.0,13000.0,Brazil,São Paulo
Goldman Sachs,"New York, NY",Distributed Systems (Back-End),Male,4.0,200000.0,140000.0,United States,New York
Microsoft,"Redmond, WA",Full Stack,Male,4.0,184000.0,138000.0,United States,Washington
Facebook,"Seattle, WA",ML / AI,Male,4.0,460000.0,210000.0,United States,Washington
Amazon,"Dublin, DN, Ireland",Web Development (Front-End),Female,0.0,80000.0,71000.0,United Kingdom,Northern Ireland
Capital One,"Washington, DC",Distributed Systems (Back-End),Male,4.0,148000.0,136000.0,United States,District of Columbia
Uber,"San Francisco, CA",Distributed Systems (Back-End),Male,15.0,360000.0,205000.0,United States,California
Salesforce,"San Francisco, CA",Testing (SDET),Male,12.0,280000.0,210000.0,United States,California
Amazon,"Sunnyvale, CA",API Development (Back-End),Male,4.0,220000.0,160000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Female,2.0,182000.0,142000.0,United States,Washington
Google,"San Jose, CA",API Development (Back-End),Male,0.0,185000.0,120000.0,United States,California
Amazon,"New York, NY",API Development (Back-End),Male,5.0,219000.0,156000.0,United States,New York
JPMorgan Chase,"Chicago, IL",Distributed Systems (Back-End),Male,2.0,100000.0,100000.0,United States,Illinois
Amazon,"Seattle, WA",API Development (Back-End),Female,4.0,145000.0,123000.0,United States,Washington
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,5.0,190000.0,145000.0,United States,Washington
Oracle,"Seattle, WA",Full Stack,Male,2.0,200000.0,140000.0,United States,Washington
Facebook,"Menlo Park, CA",ML / AI,Female,0.0,169000.0,115000.0,United States,California
Amazon,"New York, NY",Distributed Systems (Back-End),Male,3.0,200000.0,150000.0,United States,New York
Amazon,"Seattle, WA",ML / AI,Male,7.0,260000.0,150000.0,United States,Washington
Goldman Sachs,"New York, NY",Full Stack,Male,7.0,145000.0,125000.0,United States,New York
Capital One,"Washington, DC",Full Stack,Male,13.0,136000.0,130000.0,United States,District of Columbia
Google,"New York, NY",API Development (Back-End),Male,1.0,200000.0,135000.0,United States,New York
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,8.0,280000.0,154000.0,United States,Washington
JPMorgan Chase,"New York, NY",DevOps,Male,2.0,130000.0,120000.0,United States,New York
Goldman Sachs,"New York, NY",Data,Male,3.0,160000.0,120000.0,United States,New York
Amazon,"San Jose, CA",Distributed Systems (Back-End),Male,13.0,352000.0,180000.0,United States,California
Amazon,"Bellevue, WA",API Development (Back-End),Male,4.0,194000.0,142000.0,United States,Washington
Microsoft,"San Francisco, CA",Distributed Systems (Back-End),Male,9.0,292000.0,210000.0,United States,California
IBM,"Durham, NC",Distributed Systems (Back-End),Male,19.0,185000.0,185000.0,United States,North Carolina
