Company	Location	Date	Level	Title	YOE	TC	Base	Stock	Bonus	Details	Gender
Microsoft	Seattle, WA	2/18/2022	59	Operations	0 / 0	$158,000	111k	30k	17k	Title: Program Manager, Race: Asian, Academic Level: Bachelor’s degree, Negotiated Amount: $25k	Gender: Male
Viasat	San Diego, CA	2/18/2022	Don’t know	Product	1 / 12	$195,000	185k	5k	5k	Title: Product Manager, Race: Two or More Races, Academic Level: Doctorate (PhD)	Gender: Non-binary
BlackRock	New York, NY	2/18/2022	l6	Product	6 / 6	$175,000	135k	15k	25k	Title: Product Strategy And Marketing, Race: Asian, Academic Level: Technical or occupational certificate	Gender: Female
Amazon	Toronto, ON, Canada	2/18/2022	Principal Product Manager	Technical	3 / 5	$221,000	121k	93k	7k	Title: Principal Product Manager, Race: Asian, Academic Level: Master’s degree	Gender: Male
Albertsons	San Francisco, CA	2/18/2022	L1	Product	3 / 3	$210,000	175k	N/A	35k	Title: Product Manager	N/A
Wish	San Francisco, CA	2/18/2022	L6	Product	1 / 10	$513,000	250k	250k	13k	Title: Group Product Manager, Race: Hispanic / Latino, Academic Level: Master’s degree	Gender: Male
VMware	Palo Alto, CA	2/18/2022	L3	Product	1 / 8	$193,000	150k	18k	25k	Title: Product Manager	N/A
Facebook	Seattle, WA	2/17/2022	L6 Product Manager	Technical	0 / 10	$536,000	230k	260k	46k	Title: Product Manager, Academic Level: Master’s degree	N/A
Spotify	Stockholm, ST, Sweden	2/17/2022	L1	Product	2 / 5	$120,000	100k	20k	N/A	Title: Pm	N/A
ZipRecruiter	Palo Alto, CA	2/17/2022	Director	Product	1 / 8	$571,000	242k	275k	54k	Remote, Title: Director Of Product	N/A
Capital One	Richmond, VA	2/17/2022	Manager	Technical	3 / 5	$174,000	150k	N/A	24k	Title: Product Manager, Race: Hispanic / Latino, Academic Level: Master’s degree	Gender: Male
American Express	Phoenix, AZ	2/17/2022	B35	Product	3 / 3	$176,000	140k	N/A	36k	Title: Senior Manager, Race: Asian, Academic Level: Master’s degree	Gender: Female
Zendesk	San Francisco, CA	2/17/2022	L4	Product	3 / 8	$308,000	215k	78k	15k	Title: Senior Product Manager, Race: White, Academic Level: Bachelor’s degree	Gender: Female
