Company	Location	Date	Level	Title	YOE	TC	Base	Stock	Bonus	Details	Gender
Google	Mountain View, CA	1/30/2022	L9	Ads	16 / 16	$4,885,000	485k	4.2M	200k	Title: Distinguished Engineer, Race: Asian, Academic Level: Master’s degree	Gender: Male
Amazon	Seattle, WA	1/30/2022	SDE III	Distributed Systems (Back-End)	8 / 8	$380,000	160k	220k	N/A	Title: Sde	N/A
JPMorgan Chase	Wilmington, DE	1/30/2022	Associate	API Development (Back-End)	0 / 4	$113,000	105k	N/A	8k	Title: Associate Software Engineer	Gender: Male
IBM	Rochester, MN	1/30/2022	Advisory Engineer	Distributed Systems (Back-End)	15 / 15	$146,000	146k	N/A	N/A	Title: Advisory Software Engineer, Race: White, Academic Level: Bachelor’s degree	Gender: Male
Ford Motor	Dearborn, MI	1/30/2022	GS6	API Development (Back-End)	1 / 1	$92,000	80k	N/A	12k	Title: Software Engineer, Race: Asian, Academic Level: Bachelor’s degree	Gender: Male
Axon	Charlotte, NC	1/30/2022	L3	API Development (Back-End)	0 / 8	$220,000	150k	60k	10k	Remote, Title: Software Engineer Ii	N/A
Facebook	London, EN, United Kingdom	1/30/2022	E5	Web Development (Front-End)	3 / 10	$347,000	149k	176k	22k	Title: Front End Engineer, Race: White, Academic Level: High school or equivalent	Gender: Male
IHS Markit	Raleigh, NC	1/30/2022	L7	Full Stack	7 / 7	$167,000	140k	6k	21k	Remote, Title: Sr Software Engineer, Race: White, Academic Level: Bachelor’s degree	Gender: Female
Northwestern Mutual	Milwaukee, WI	1/30/2022	Associate	Full Stack	0 / 0	$75,000	70k	N/A	5k	Remote, Title: Associate Software Engineer	N/A
Audible	Cambridge, MA	1/30/2022	L5	Full Stack	0 / 5	$270,000	160k	50k	60k	Title: Sde 2, Race: Asian, Academic Level: Master’s degree	Gender: Male
Audible	Newark, NJ	1/30/2022	L4	API Development (Back-End)	2 / 4	$150,000	125k	25k	N/A	Title: Software Development Engineer	N/A
Microsoft	Redmond, WA	1/30/2022	SDE	Networking	0 / 0	$152,000	113k	19k	20k	Title: Software Engineer, Race: Asian, Academic Level: Bachelor’s degree	Gender: Male
Esri	Redlands, CA	1/30/2022	Principal	API Development (Back-End)	14 / 17	$250,000	236k	N/A	14k	Title: Principal Software Developer, Race: Asian, Academic Level: Bachelor’s degree	Gender: Male
Sberbank	Saint Petersburg, SP, Russia	1/30/2022	11	DevOps	2 / 4	$51,000	38k	N/A	13k	Title: Devops, Race: White, Academic Level: Master’s degree	Gender: Male
Target	Minneapolis, MN	1/30/2022	L6	API Development (Back-End)	6 / 10	$178,000	158k	N/A	20k	Title: Lead Software Engineer, Academic Level: Bachelor’s degree	Gender: Male
Unity Technologies	Zurich, ZH, Switzerland	1/30/2022	Tech IC7	Graphics	1 / 5	$300,000	198k	102k	N/A	Title: Senior Researcher, Race: White, Academic Level: Doctorate (PhD)	Gender: Male
Delivery Hero	Berlin, BE, Germany	1/30/2022	IC3	Web Development (Front-End)	3 / 9	$105,000	90k	15k	N/A	Title: Senior Software Engineer, Race: Asian, Academic Level: Bachelor’s degree	Gender: Male
Bloomberg LP	London, EN, United Kingdom	1/30/2022	Senior	Distributed Systems (Back-End)	0 / 2	$150,000	134k	N/A	16k	Title: Senior Software Engineer, Race: Asian, Academic Level: Master’s degree	Gender: Male
Capital One	Richmond, VA	1/30/2022	Associate Software Eng	API Development (Back-End)	0 / 0	$115,000	100k	N/A	15k	Title: Associate Software Engineer	N/A
Ford Motor	Dearborn, MI	1/30/2022	GSR6	DevOps	2 / 4	$89,000	84k	N/A	5k	Remote, Title: Software Engineer, Race: White, Academic Level: Bachelor’s degree	Gender: Male
Duolingo	Pittsburgh, PA	1/30/2022	L2	DevOps	0 / 2	$190,000	140k	50k	N/A	Title: Devops	N/A
Box	Redwood City, CA	1/30/2022	Senior Software Engineer	Site Reliability (SRE)	3 / 14	$261,000	186k	75k	N/A	Title: Sr. Site Reliability Engineer, Race: Asian, Academic Level: Master’s degree	Gender: Female
Microsoft	Reston, VA	1/30/2022	60	DevOps	0 / 3	$163,000	120k	13k	30k	Title: Software Engineer	N/A
Indeed	Seattle, WA	1/30/2022	L2	Full Stack	4 / 7	$318,000	178k	98k	42k	Title: Software Engineer, Race: White, Academic Level: Bachelor’s degree	Gender: Male
Deutsche Bank	Cary, NC	1/30/2022	AVP	API Development (Back-End)	7 / 15	$120,000	117k	N/A	3k	Title: Avp, Race: Asian, Academic Level: Bachelor’s degree	Gender: Male
JPMorgan Chase	Columbus, OH	1/30/2022	Analyst	NA	0 / 0	$90,000	80k	N/A	10k	Title: Sep I	N/A
Microsoft	Redmond, WA	1/30/2022	Senior SDE	Distributed Systems (Back-End)	2 / 15	$280,000	165k	100k	15k	Title: Senior Software Engineer, Race: Asian, Academic Level: Master’s degree	Gender: Male
Twitter	Seattle, WA	1/30/2022	SWE II	API Development (Back-End)	0 / 1	$252,000	170k	48k	34k	Remote, Title: Partner Engineer, Academic Level: Bachelor’s degree	Gender: Female
NICE	Salt Lake City, UT	1/30/2022	1	Production	0 / 2	$85,000	80k	N/A	5k	Title: Software Engineer, Race: White, Academic Level: Some college coursework completed	Gender: Male
Oracle	Seattle, WA	1/30/2022	IC	Distributed Systems (Back-End)	0 / 7	$272,000	155k	93k	24k	Title: Senior Mts, Race: Asian, Academic Level: Master’s degree	Gender: Male
Arm	Manchester, EN, United Kingdom	1/30/2022	Grade 5	Toolchain	3 / 9	$109,000	96k	N/A	13k	Title: Staff Software Engineer	N/A
LaunchDarkly	Oakland, CA	1/30/2022	L3	Full Stack	3 / 3	$165,000	165k	N/A	N/A	Equity not included in TC because startup equity is an unknown (Remote), Title: Software Engineer, Academic Level: Bachelor’s degree	N/A
IBM	Yorktown Heights, NY	1/30/2022	Staff Engineer	ML / AI	1 / 1	$140,000	140k	N/A	N/A	Title: Software Developer, Race: Hispanic / Latino, Academic Level: Master’s degree, Negotiated Amount: $7k	Gender: Female
Google	Durham, NC	1/30/2022	L5	ML / AI	0 / 8	$298,000	150k	125k	23k	Title: Machine Learning Engineer	N/A
Bank of America	Charlotte, NC	1/30/2022	B5	Full Stack	15 / 15	$155,000	130k	9k	16k	Title: Feature Lead	N/A
Vicarious	Union City, CA	1/30/2022	P2	ML / AI	0 / 0	$155,000	155k	N/A	N/A	Title: Robotics Engineer, Race: Asian, Academic Level: Master’s degree	Gender: Male
